"AGEGRP","Year","Population","Race","Sex"
"1","1970",1344188,"NonWhite","Female"
"2","1970",8630762,"White","Male"
"2","1970",8257608,"White","Female"
"2","1970",1520933,"NonWhite","Male"
"2","1970",1510134,"NonWhite","Female"
"3","1970",9074126,"White","Male"
"3","1970",8685987,"White","Female"
"3","1970",1548341,"NonWhite","Male"
"3","1970",1544389,"NonWhite","Female"
"4","1970",8464219,"White","Male"
"4","1970",8158125,"White","Female"
"4","1970",1351750,"NonWhite","Male"
"4","1970",1359003,"NonWhite","Female"
"5","1970",7610146,"White","Male"
"5","1970",7435143,"White","Female"
"5","1970",1044793,"NonWhite","Male"
"5","1970",1112024,"NonWhite","Female"
"6","1970",6039133,"White","Male"
"6","1970",6028078,"White","Female"
"6","1970",781961,"NonWhite","Male"
"6","1970",886976,"NonWhite","Female"
"7","1970",5039852,"White","Male"
"7","1970",5085116,"White","Female"
"7","1970",675707,"NonWhite","Male"
"7","1970",786709,"NonWhite","Female"
"8","1970",4846671,"White","Male"
"8","1970",4933776,"White","Female"
"8","1970",628213,"NonWhite","Male"
"8","1970",746016,"NonWhite","Female"
"9","1970",5225255,"White","Male"
"9","1970",5407468,"White","Female"
"9","1970",621422,"NonWhite","Male"
"9","1970",740831,"NonWhite","Female"
"10","1970",5283777,"White","Male"
"10","1970",5602799,"White","Female"
"10","1970",589487,"NonWhite","Male"
"10","1970",674564,"NonWhite","Female"
"11","1970",4865723,"White","Male"
"11","1970",5199271,"White","Female"
"11","1970",513974,"NonWhite","Male"
"11","1970",586807,"NonWhite","Female"
"12","1970",4333300,"White","Male"
"12","1970",4718687,"White","Female"
"12","1970",447922,"NonWhite","Male"
"12","1970",506567,"NonWhite","Female"
"13","1970",3671951,"White","Male"
"13","1970",4188060,"White","Female"
"13","1970",379920,"NonWhite","Male"
"13","1970",435778,"NonWhite","Female"
"14","1970",2829390,"White","Male"
"14","1970",3512766,"White","Female"
"14","1970",309407,"NonWhite","Male"
"14","1970",374686,"NonWhite","Female"
"15","1970",2113868,"White","Male"
"15","1970",2888322,"White","Female"
"15","1970",208229,"NonWhite","Male"
"15","1970",256322,"NonWhite","Female"
"16","1970",2712127,"White","Male"
"16","1970",4333338,"White","Female"
"16","1970",240390,"NonWhite","Male"
"16","1970",327884,"NonWhite","Female"
"1","1980",6881855,"White","Male"
"1","1980",6532089,"White","Female"
"1","1980",1315398,"NonWhite","Male"
"1","1980",1293075,"NonWhite","Female"
"2","1980",7033571,"White","Male"
"2","1980",6683009,"White","Female"
"2","1980",1338858,"NonWhite","Male"
"2","1980",1316999,"NonWhite","Female"
"3","1980",7729768,"White","Male"
"3","1980",7365022,"White","Female"
"3","1980",1432254,"NonWhite","Male"
"3","1980",1414883,"NonWhite","Female"
"4","1980",9008328,"White","Male"
"4","1980",8672664,"White","Female"
"4","1980",1586480,"NonWhite","Male"
"4","1980",1590504,"NonWhite","Female"
"5","1980",9101791,"White","Male"
"5","1980",8969864,"White","Female"
"5","1980",1387982,"NonWhite","Male"
"5","1980",1510560,"NonWhite","Female"
"6","1980",8363020,"White","Male"
"6","1980",8294745,"White","Female"
"6","1980",1156584,"NonWhite","Male"
"6","1980",1310289,"NonWhite","Female"
"7","1980",7565054,"White","Male"
"7","1980",7591923,"White","Female"
"7","1980",930963,"NonWhite","Male"
"7","1980",1080296,"NonWhite","Female"
"8","1980",6013931,"White","Male"
"8","1980",6107932,"White","Female"
"8","1980",708557,"NonWhite","Male"
"8","1980",844300,"NonWhite","Female"
"9","1980",4990896,"White","Male"
"9","1980",5118963,"White","Female"
"9","1980",604493,"NonWhite","Male"
"9","1980",725011,"NonWhite","Female"
"10","1980",4755246,"White","Male"
"10","1980",4938114,"White","Female"
"10","1980",546616,"NonWhite","Male"
